nom,type,ville,description,image_monument_url,lien_wikipedia,image_ville_url
Hassan II Mosque,musée,Casablanca,"The Hassan II Mosque is a mosque in Casablanca, Morocco. It is the second largest functioning mosque in Africa and is the 14th largest in the world. Its minaret is the world's second tallest minaret at 210 metres (689 ft). Completed in 1993, it was designed by Michel Pinseau under the guidance of King Hassan II and built by Moroccan artisans from all over the kingdom. The minaret is 60 stories high topped by a laser, the light from which is directed towards Mecca. The mosque stands on a promontory looking out to the Atlantic Ocean; worshippers can pray over the sea but there is no glass floor looking into the sea. The walls are of hand-crafted marble and the roof is retractable. A maximum of 105,000 worshippers can gather together for prayer: 25,000 inside the mosque hall and another 80,000 on the mosque's outside ground.",https://upload.wikimedia.org/wikipedia/en/thumb/c/ce/Hassan_II_mosque%2C_Casablanca_2.jpg/330px-Hassan_II_mosque%2C_Casablanca_2.jpg,https://en.wikipedia.org/wiki/Hassan_II_Mosque,https://upload.wikimedia.org/wikipedia/en/thumb/c/ce/Hassan_II_mosque%2C_Casablanca_2.jpg/330px-Hassan_II_mosque%2C_Casablanca_2.jpg
Lima Stock Exchange,musée,Casablanca,"The Lima Stock Exchange is the stock exchange of Peru, located in the capital Lima. It has several indices. The S&P/BVL Peru General Index is a value-weighted index that tracks the performance of the largest and most frequently traded stocks on the Lima Exchange.",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Bolsa_de_Valores_de_Lima_logo.png/330px-Bolsa_de_Valores_de_Lima_logo.png,https://en.wikipedia.org/wiki/Lima_Stock_Exchange,https://upload.wikimedia.org/wikipedia/en/thumb/c/ce/Hassan_II_mosque%2C_Casablanca_2.jpg/330px-Hassan_II_mosque%2C_Casablanca_2.jpg
List of Allied World War II conferences,musée,Casablanca,"This is a list of World War II conferences of the Allies of World War II. Names in boldface indicate the three conferences at which the leaders of the United States, the United Kingdom, and the Soviet Union were all present. For the historical context see Diplomatic history of World War II. See also the Anglo-French Supreme War Council, which operated from September 1939 until June 1940.",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Roosevelt_Inonu_Churchill.jpg/330px-Roosevelt_Inonu_Churchill.jpg,https://en.wikipedia.org/wiki/List_of_Allied_World_War_II_conferences,https://upload.wikimedia.org/wikipedia/en/thumb/c/ce/Hassan_II_mosque%2C_Casablanca_2.jpg/330px-Hassan_II_mosque%2C_Casablanca_2.jpg
Chocolate City (album),musée,Casablanca,"Chocolate City is the third album by the funk band Parliament, released in 1975. It was a ""tribute to Washington D.C."", where the group had been particularly popular. The album's cover includes images of the United States Capitol, the Washington Monument, and the Lincoln Memorial in the form of a chocolate medallion, as well as sticker labeled ""Washington DC"". The album was very popular in the capital city, selling 150,000 copies alone there.",https://upload.wikimedia.org/wikipedia/en/c/ca/ParliamentChocolateCityalbumcover.jpg,https://en.wikipedia.org/wiki/Chocolate_City_(album),https://upload.wikimedia.org/wikipedia/en/thumb/c/ce/Hassan_II_mosque%2C_Casablanca_2.jpg/330px-Hassan_II_mosque%2C_Casablanca_2.jpg
Casablanca,musée,Casablanca,"Casablanca is the largest city in Morocco and the country's economic and business centre. Located on the Atlantic coast of the Chaouia plain in the central-western part of Morocco, the city has a population of about 3.22 million in the urban area, and over 4.27 million in Greater Casablanca, making it the most populous city in the Maghreb region, and the eighth-largest in the Arab world.",https://upload.wikimedia.org/wikipedia/en/thumb/c/ce/Hassan_II_mosque%2C_Casablanca_2.jpg/330px-Hassan_II_mosque%2C_Casablanca_2.jpg,https://en.wikipedia.org/wiki/Casablanca,https://upload.wikimedia.org/wikipedia/en/thumb/c/ce/Hassan_II_mosque%2C_Casablanca_2.jpg/330px-Hassan_II_mosque%2C_Casablanca_2.jpg
Funduq al-Najjarin,musée,Casablanca,"Funduq al-Najjarin is a historic funduq in Fes el Bali, the old medina quarter in the city of Fez, Morocco.",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Fes_-_Fondouk_el-Nejjarine.jpg/320px-Fes_-_Fondouk_el-Nejjarine.jpg,https://en.wikipedia.org/wiki/Funduq_al-Najjarin,https://upload.wikimedia.org/wikipedia/en/thumb/c/ce/Hassan_II_mosque%2C_Casablanca_2.jpg/330px-Hassan_II_mosque%2C_Casablanca_2.jpg
Mausoleum of Sidi Harazem,musée,Casablanca,"The Mausoleum of Sidi Harazem or Marabout of Sidi Harazem is a funerary monument and shrine in Fez, Morocco. It is located in the Bab Ftouh Cemetery, one of the city's largest historic cemeteries. It contains the tomb of Sidi 'Ali ibn Harazem, a 12th-century Sufi mystic who died in 1164–65.",https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/20230912_11h3793Em_Sidi_Harazem_%2853249909374%29.jpg/330px-20230912_11h3793Em_Sidi_Harazem_%2853249909374%29.jpg,https://en.wikipedia.org/wiki/Mausoleum_of_Sidi_Harazem,https://upload.wikimedia.org/wikipedia/en/thumb/c/ce/Hassan_II_mosque%2C_Casablanca_2.jpg/330px-Hassan_II_mosque%2C_Casablanca_2.jpg
USS Rudyerd Bay,musée,Casablanca,"USS Rudyerd Bay (CVE-81) was the twenty-seventh of fifty Casablanca-class escort carriers built for the United States Navy during World War II. She was named after Rudyerd Bay, within Ketcchikan Gateway Bourough, of the Territory of Alaska. Today, the bay lies within Misty Fjords National Monument. The ship was launched in January 1944, commissioned in February, and served as a replenishment and transport carrier throughout the Mariana and Palau Islands campaign and the Philippines campaign. Later, she served as a frontline carrier, providing air cover and support for the invasion of Iwo Jima, and the Battle of Okinawa. Postwar, she participated in Operation Magic Carpet, repatriating U.S. servicemen from throughout the Pacific. She was decommissioned in June 1946, when she was mothballed in the Atlantic Reserve Fleet. Ultimately, she was sold for scrapping in January 1960.",https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/USS_Rudyerd_Bay_%28CVE-81%29_underway_in_1944.jpeg/330px-USS_Rudyerd_Bay_%28CVE-81%29_underway_in_1944.jpeg,https://en.wikipedia.org/wiki/USS_Rudyerd_Bay,https://upload.wikimedia.org/wikipedia/en/thumb/c/ce/Hassan_II_mosque%2C_Casablanca_2.jpg/330px-Hassan_II_mosque%2C_Casablanca_2.jpg
Zellij,musée,Casablanca,"Zellij, also spelled zillij or zellige, is a style of mosaic tilework made from individually hand-chiseled tile pieces. The pieces were typically of different colours and fitted together to form various patterns on the basis of tessellations, most notably elaborate Islamic geometric motifs such as radiating star patterns composed of various polygons. This form of Islamic art is one of the main characteristics of architecture in the western Islamic world. It is found in the architecture of Morocco, the architecture of Algeria, early Islamic sites in Tunisia, and in the historic monuments of al-Andalus. From the 14th century onwards, zellij became a standard decorative element along lower walls, in fountains and pools, on minarets, and for the paving of floors.",https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/%D9%86%D8%B8%D8%B1%D8%A9_%D9%85%D9%82%D8%B1%D8%A8%D8%A9_%D9%84%D9%84%D8%B2%D9%84%D9%8A%D8%AC_%D9%81%D9%8A_%D9%85%D8%AF%D8%B1%D8%B3%D8%A9_%D8%A7%D8%A8%D9%86_%D9%8A%D9%88%D8%B3%D9%81.jpeg/330px-%D9%86%D8%B8%D8%B1%D8%A9_%D9%85%D9%82%D8%B1%D8%A8%D8%A9_%D9%84%D9%84%D8%B2%D9%84%D9%8A%D8%AC_%D9%81%D9%8A_%D9%85%D8%AF%D8%B1%D8%B3%D8%A9_%D8%A7%D8%A8%D9%86_%D9%8A%D9%88%D8%B3%D9%81.jpeg,https://en.wikipedia.org/wiki/Zellij,https://upload.wikimedia.org/wikipedia/en/thumb/c/ce/Hassan_II_mosque%2C_Casablanca_2.jpg/330px-Hassan_II_mosque%2C_Casablanca_2.jpg
Rabat,musée,Rabat,"Rabat is the capital city of Morocco and the country's seventh-largest city with an urban population of approximately 580,000 (2014) and a metropolitan population of over 1.2 million. It is also the capital city of the Rabat-Salé-Kénitra administrative region. Rabat is located on the Atlantic Ocean at the mouth of the river Bou Regreg, opposite Salé, the city's main commuter town.",https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Morocco_-_Rabat_%2831387775324%29.jpg/330px-Morocco_-_Rabat_%2831387775324%29.jpg,https://en.wikipedia.org/wiki/Rabat,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Morocco_-_Rabat_%2831387775324%29.jpg/330px-Morocco_-_Rabat_%2831387775324%29.jpg
